"artist","song","vector"
"Russ","ITALY","[0.874063432217, 0.439249783754, 4.21768283844, 1137.27038574, 0.0857311859727, 7.17991018295, 1508.32751465, 21.4057273865, 0.48917761445, 14.1818914413, 4834077.5, 0.764500916004, 0.00136029126588, 0.0129125220701, 0.00225396850146, 0.00128345226403, 0.00411676615477, 0.000779109832365, 0.00270015164278, 0.00131053104997, 0.00159533915576, 0.000575776095502, 0.000563412846532, 0.000671790447086, 0.000395033857785, 0.000414148031268, 0.000443716999143, 0.000283182860585, 0.000382954167435, 0.000183887241292, 0.00012407322356, 0.000181379829883, 0.000112489455205, 0.000154677443788, 0.000359011290129, 0.00024622795172, 0.000153665416292, 6.94134359946e-05, 9.87091243587e-06, -697.917358398, 155.968185425, -2.36502552032, 13.1693029404, 11.6470165253, 5.40892219543, -1.77242004871, 3.54036545753, 1.50720739365, 2.63793301582, -0.586111545563, 3.23658370972, 0.411853790283, -55.4807357788, 120.061523438, -109.659233093, 15.3245601654, -42.8260803223, 11.7025375366, -34.2567138672, 6.73441123962, -15.2879924774, 0.880338191986, -11.5274181366, -1.06363523006, -6.8000535965, 120.600471497, 1.32355391979, 4.33950805664, 0.538246333599, 12.3085956573, 2.05947256088, 0.713377892971]"
"Lauryn Hill","Selah (Album Version)","[0.853979468346, 0.457126230001, 3.8463640213, 1480.92810059, 0.102762892842, 7.55602455139, 1194.15222168, 17.8498878479, 0.487089633942, 15.1116313934, 4802332.5, 0.491103887558, 0.0033830802422, 0.01663746126, 0.00383264175616, 0.0025784119498, 0.00225405581295, 0.00194504065439, 0.00150013261009, 0.00153914664406, 0.00105793774128, 0.000525474897586, 0.000413602159824, 0.000374496652512, 0.000330919137923, 0.000278495164821, 0.000307903275825, 0.000380337034585, 0.000403015728807, 0.00030303990934, 0.000302021333482, 0.000248222291702, 0.000208379220567, 0.000202129565878, 0.000165254125022, 0.000103516300442, 6.40040670987e-05, 1.22039136841e-05, 1.33831451876e-06, -669.777648926, 113.775917053, 15.368437767, 35.9909248352, 5.24839115143, 2.83709096909, -4.78258705139, 6.37637281418, 4.55620574951, -0.330022543669, 2.56626343727, 2.51298999786, 2.22464299202, -27.6665706635, 91.2519073486, -103.28679657, 47.5448646545, -58.8963699341, 8.82764816284, -34.3113174438, 12.9553222656, -14.0528450012, 2.8194861412, -11.3937368393, 3.21106767654, -4.19351053238, 125.953224182, 1.24660241604, 4.37825489044, 0.479164361954, 12.2772464752, 2.17609071732, 0.510990560055]"
"2Pac","Me Against The World (feat. Dramacydal)","[0.882740974426, 0.450541526079, 3.84637784958, 1257.56774902, 0.10486317426, 7.50070905685, 1556.64074707, 21.8120975494, 0.486899167299, 12.924539566, 5640621.5, 1.00989806652, 0.000844853406306, 0.0109307598323, 0.00273331580684, 0.00165154819842, 0.0033146890346, 0.00145567033906, 0.00176510668825, 0.00198172801174, 0.00145897641778, 0.0011116276728, 0.00148072093725, 0.000928032677621, 0.00052096665604, 0.000393759401049, 0.000345289998222, 0.000285477377474, 0.000232455189689, 0.00016526239051, 0.000213376275497, 0.000100167220808, 0.000169111779542, 0.000188282705494, 0.000198585126782, 0.000229247380048, 0.000150757055962, 7.13141562301e-05, 1.64734101418e-05, -672.808837891, 108.230148315, 16.0202960968, 18.8362236023, -3.03418374062, 4.77732467651, -2.82196140289, 4.92226886749, -3.88198494911, -4.62240552902, -1.24637651443, -1.96453952789, -3.36228656769, -20.4222736359, 70.115234375, -98.4638900757, 24.0336399078, -62.1684684753, 9.51321411133, -33.4778594971, 2.81757164001, -23.0784244537, -1.39326798916, -14.275305748, 3.57932829857, -11.3092842102, 85.042930603, 1.49374198914, 4.81803417206, 0.499417483807, 13.7050848007, 1.93337106705, 0.660901546478]"
"MF DOOM","High John","[0.902949213982, 0.446860730648, 3.76073098183, 915.849304199, 0.0767827555537, 7.04875564575, 1266.10754395, 20.3846416473, 0.387079387903, 9.86630821228, 5314519, 0.827504634857, 0.000330189010128, 0.014883521013, 0.0105458544567, 0.00480099115521, 0.00592633476481, 0.00064500462031, 0.000321802886901, 0.000177958878339, 0.000177866953891, 0.000231986574363, 0.00026360937045, 0.000167508420418, 0.000232328457059, 0.000103276826849, 0.000104081860627, 0.000172402229509, 0.000122223500512, 0.000145173602505, 0.000192814230104, 0.000156294190674, 0.000176750778337, 0.000284108013147, 0.000745174125768, 0.000291689124424, 9.82039928203e-05, 4.95557615068e-05, 5.27687234353e-06, -714.774230957, 123.784515381, 33.3735084534, 34.7565879822, 5.17481517792, 23.7715988159, 1.98250579834, 6.34990882874, -3.87343859673, -0.680355131626, -11.8705911636, -4.01708841324, -1.95813632011, -63.4797325134, 96.7668609619, -80.7429504395, 46.6853981018, -53.0935745239, 18.2398166656, -30.4091949463, -8.97719478607, -25.3021907806, -8.14276599884, -18.5845794678, -4.06674146652, -11.4286193848, 81.8811798096, 1.36528730392, 4.37820053101, 0.45751914382, 12.7190599442, 1.98376846313, 0.418705224991]"
"Nas","Still Dreaming (feat. Kanye West, Chrisette Michele)","[0.938388466835, 0.433200955391, 2.58438181877, 796.4453125, 0.139191865921, 7.04751348495, 713.904846191, 19.9644451141, 0.502215087414, 13.2598314285, 4829195.5, 0.62785500288, 0.00487508997321, 0.0353480987251, 0.0113647179678, 0.0057480186224, 0.00461853295565, 0.00303072412498, 0.00179798842873, 0.0011805142276, 0.00091025972506, 0.00115748634562, 0.000442934309831, 0.000496135442518, 0.000275956495898, 0.000178725997102, 0.000279732223134, 0.000206595330383, 0.000197871559067, 0.000145583224366, 0.000177433219505, 0.000174596032593, 0.000145109646837, 0.000156635011081, 0.00014660092711, 0.000177041903953, 9.38716766541e-05, 2.36061696341e-05, 2.30830119108e-06, -674.373779297, 148.520126343, 36.8938369751, 25.7497234344, 21.0031967163, 2.87226510048, 5.34399414062, 10.9935064316, 0.79286646843, 7.2434091568, -3.88109469414, -1.24170780182, 0.328426152468, -16.9904880524, 117.982658386, -72.2950973511, 34.5740089417, -47.3620071411, 17.4862232208, -34.1950874329, 12.6408672333, -16.7129459381, -7.32196378708, -7.68900775909, -4.62394428253, -5.05666255951, 90.9384002686, 1.86750030518, 4.86574220657, 0.534545361996, 13.1643238068, 1.94135320187, 0.634837031364]"
"JISOO","earthquake","[0.908501088619, 0.444489330053, 2.8851351738, 1164.65991211, 0.106157749891, 7.51997184753, 1247.61914062, 29.6985607147, 0.417194008827, 14.0395421982, 6985942.5, 0.749089121819, 0.00352683453821, 0.0328986048698, 0.00512407021597, 0.00226481840946, 0.00266025960445, 0.00155023287516, 0.00143434107304, 0.000715413829312, 0.0020723848138, 0.00160417472944, 0.00110563857015, 0.000444439094281, 0.00030582875479, 0.000531739729922, 0.000599978899118, 0.000484172924189, 0.000263491703663, 0.000109946355224, 0.000134390240419, 0.000124409794807, 0.000152916501975, 0.000169507635292, 0.000354771094862, 0.00059155607596, 0.00036591704702, 9.74681825028e-05, 2.35764109675e-05, -661.955627441, 111.845161438, 33.1313896179, -1.46752095222, 14.5198907852, 8.31238365173, 8.56648826599, 10.0582475662, 5.56795787811, 16.3805351257, -3.5495994091, -0.905399858952, 1.92152428627, -10.6154432297, 74.8733596802, -82.0756988525, 19.0317287445, -55.9114151001, 36.451965332, -30.9181270599, 17.6401233673, -12.3136835098, 1.99618852139, -6.67902565002, -2.36871099472, -0.503628790379, 126.961730957, 1.02911710739, 4.27100515366, 0.523293435574, 14.2809095383, 1.79970920086, 0.601177871227]"
"JISOO","All Eyes On Me","[0.928087949753, 0.452425897121, 3.62279891968, 1395.40881348, 0.0992411375046, 7.45467662811, 2722.74511719, 36.2792892456, 0.433833271265, 16.5871658325, 5359198.5, 1.2499114275, 0.000846301554702, 0.0233872942626, 0.00600794842467, 0.00213265768252, 0.00158588972408, 0.0012291962048, 0.00140138959978, 0.00137641560286, 0.00169647671282, 0.00133516127244, 0.00207698624581, 0.00098239921499, 0.000396832736442, 0.000564649002627, 0.000624510634225, 0.000491547922138, 0.000586824840866, 0.000361911719665, 0.000275126629276, 0.000264984060777, 0.000288638228085, 0.000256985251326, 0.000280633976217, 0.000246016628807, 0.000187636193004, 8.58469502418e-05, 0.00042473236681, -664.88671875, 111.207382202, 4.98011732101, 4.4527349472, 4.83294677734, 5.7246336937, 6.06556272507, 9.59156608582, 3.87118768692, 7.29672431946, -1.72868299484, 0.384153783321, 2.06185674667, -8.25315189362, 56.2019805908, -92.0146865845, -1.57865476608, -34.9847984314, 6.77152490616, -12.0901298523, -1.31906461716, -2.49795508385, -12.7728357315, 0.238794982433, -11.2988090515, 1.51237380505, 109.936203003, 1.13377940655, 3.77281999588, 0.491863667965, 14.900557518, 1.73031008244, 0.786833167076]"
"JISOO","Your Love","[0.914832174778, 0.441737890244, 2.785125494, 1060.78686523, 0.0962698534131, 7.37505865097, 1197.96520996, 22.9645328522, 0.495354682207, 16.2889308929, 5670552.5, 1.08824527264, 0.000866312999278, 0.0148732447997, 0.00264701596461, 0.00165041070431, 0.00336936698295, 0.00219762511551, 0.00327408057638, 0.00126360892318, 0.00137827603612, 0.00224926369265, 0.00120831443928, 0.000743168406188, 0.000320840714267, 0.00085128901992, 0.000308518938255, 0.000280069594737, 0.000256412080489, 0.000181533556315, 0.000200179842068, 0.000181343653821, 0.000117921445053, 9.43254199228e-05, 0.000183282478247, 0.000234209568589, 0.000147667364217, 8.44670503284e-05, 1.36372300403e-05, -658.599487305, 126.794311523, 14.9801692963, -4.75186824799, 5.65404176712, -3.92418384552, 1.87615418434, 3.07107925415, -7.75878238678, 9.44130516052, -7.11046648026, -1.35114896297, 1.76280760765, -7.55376386642, 84.2587814331, -100.328216553, 4.38114070892, -62.687374115, 18.5320491791, -40.5458831787, 12.3345899582, -20.082818985, 1.96197557449, -4.82624292374, 1.0627117157, -5.99438524246, 105.900802612, 1.28324186802, 4.12712526321, 0.570364713669, 15.9776725769, 1.71411049366, 0.813049912453]"
"Yoon Jong Shin","Annie (2022 Live Version)","[0.743974149227, 0.422175556421, 5.54483652115, 935.543701172, 0.0562562420964, 6.66316699982, 1037.61279297, 14.8918085098, 0.519538342953, 12.1791248322, 3025640.75, 1.30399811268, 3.69307308574e-05, 0.00238583469763, 0.00175070099067, 0.000888068694621, 0.00495522003621, 0.00276056840084, 0.00206860108301, 0.00143248750828, 0.0019094448071, 0.000452464300906, 0.000422657991294, 0.000696870556567, 0.000675806135405, 0.000689941109158, 0.000526304007508, 0.000253138161497, 0.00023179105483, 0.000213008665014, 0.000283571658656, 0.000147393468069, 9.21238606679e-05, 6.11327559454e-05, 2.76247337752e-05, 3.28645546688e-05, 7.58069973017e-06, 2.74112881016e-06, 5.77886964948e-07, -737.379272461, 168.71156311, -0.363687306643, 18.2919616699, -6.45426416397, 1.29922699928, -9.5438709259, -2.57748675346, -8.24936008453, -3.79090094566, -2.15931344032, -1.90562021732, -7.39787483215, -93.6637802124, 139.431411743, -118.85243988, 15.4720058441, -60.9790840149, -3.48649406433, -34.2808952332, -7.22747898102, -16.2549495697, -5.16367912292, -8.08753204346, -4.30411720276, -6.99791717529, 135.622756958, 0.925885617733, 2.20891594887, 0.468201935291, 16.8220233917, 1.60845458508, 0.760155975819]"
"JISOO","TEARS","[0.939813256264, 0.449241429567, 3.55467891693, 1402.57067871, 0.100750491023, 7.49179410934, 2102.36816406, 24.371383667, 0.504867255688, 13.3176202774, 6343171, 1.14824390411, 0.000808757322375, 0.0170767828822, 0.00459977798164, 0.00325182126835, 0.00269915070385, 0.000991644337773, 0.000656603078824, 0.000702846911736, 0.000717466755304, 0.00167887844145, 0.000639112724457, 0.00049588503316, 0.000383592414437, 0.000368295353837, 0.000450113439001, 0.000201202841708, 0.000216717264266, 0.000149513536599, 0.000226259187912, 0.000178938513272, 0.00016222987324, 0.000173095002538, 0.000335588294547, 0.000444582052296, 0.000291388074402, 0.000104189915874, 1.10443861558e-05, -679.341247559, 101.63936615, 11.364859581, -7.37243032455, 5.48720550537, -2.3545293808, 2.95997714996, 4.79447650909, -7.10348844528, 9.83284568787, -9.34274482727, -3.61766576767, -0.0933413654566, -34.1591453552, 64.0163803101, -110.237060547, 9.43122673035, -67.0173187256, 23.9717254639, -41.8129196167, 11.7560663223, -24.7940979004, -3.09097242355, -8.69764900208, -3.39361763, -6.79399967194, 125.047271729, 1.53566086292, 4.07151317596, 0.518613815308, 15.3857679367, 1.77464318275, 0.681750774384]"
"JISOO","Hugs & Kisses","[0.916941046715, 0.451487511396, 3.5398478508, 1351.11694336, 0.106399431825, 7.64365291595, 1470.21569824, 30.0700492859, 0.420789927244, 17.0955123901, 6710566, 0.637389361858, 0.00440441118553, 0.032874148339, 0.00386531162076, 0.00138113659341, 0.00139012536965, 0.00141553056892, 0.00196588225663, 0.00203162385151, 0.00204413966276, 0.00121552287601, 0.000902166590095, 0.000761980831157, 0.000446617457783, 0.000541213026736, 0.000423595804023, 0.000306799949612, 0.000264540751232, 0.000267076451564, 0.000251347606536, 0.000210623751627, 0.000202321753022, 0.000160848416272, 0.000301480788039, 0.000447318510851, 0.000368165579857, 0.000167606587638, 2.24968407565e-05, -655.023803711, 112.469276428, 23.2257633209, 3.07442426682, 9.7375459671, 3.44654083252, 8.25781345367, 8.90276145935, 4.7566318512, 14.6754407883, 2.52116274834, 6.70282888412, 4.38599872589, -5.78688812256, 72.6456832886, -88.0432815552, 18.2969322205, -54.71326828, 29.0956497192, -29.2217407227, 22.484834671, -12.0337810516, 9.16637420654, -5.61433124542, 1.22221589088, -5.99643468857, 119.999916077, 1.18383479118, 4.35615444183, 0.498313307762, 14.4267091751, 1.78427124023, 0.606032967567]"
"Ariana Grande","needy","[0.870933413506, 0.377642631531, 3.29991745949, 1025.25366211, 0.0606961175799, 6.74167203903, 1187.75683594, 23.5879306793, 0.4732876122, 10.6539030075, 5151871.5, 2.17956852913, 0.000265089824097, 0.00322010018863, 0.00119956000708, 0.000161571180797, 0.00200283667073, 0.00277220620774, 0.00174956338014, 0.0034655937925, 0.0026003678795, 0.00895726960152, 0.00084521464305, 0.000165326811839, 0.000119663040095, 0.000178459755261, 0.000290252064588, 0.00040752228233, 0.000192412771867, 0.000117098854389, 0.000230914592976, 0.000262313784333, 0.000178566551767, 5.67931383557e-05, 5.45678703929e-05, 0.000137419934617, 0.000148663719301, 1.81366995093e-05, 1.7782103896e-06, -723.896606445, 121.688224792, -1.40442860126, -19.4954357147, -30.3777275085, -54.2289237976, -12.8294820786, -15.8510360718, 5.75228118896, 11.7342720032, -17.6751346588, -10.6596183777, -9.78420352936, -84.2774200439, 75.5741195679, -132.313568115, -29.4468288422, -102.216285706, -17.2963447571, -44.9276695251, 24.7853393555, -26.5043525696, -5.47189474106, -18.5145206451, -17.1563243866, 8.0493888855, 87.0557479858, 1.089204669, 2.94879603386, 0.539446592331, 15.4430503845, 1.58156168461, 0.645942926407]"
