id,shortcode,caption,head_image_url,audio_type,music_title,music_artist
3470427357838715578_2204228646,DApb0t6xiq6,"last bits of Hong Kong & Shenzhen 🤍
.
1-Finally with @tamsintan
2-On my way to the @casetify HQ in hongkong I couldn’t stop taking photos of the taxis bc they looked so cool
3&4- First fan dinner in Shenzhen :0 I was super nervous because it was my first time but all the girls were so sweet omg😭 (I hope the hot unnie is doing good ifykyk) 
5- girls sleepover at @fsshenzhen !!
6- thank you for having me @fsshenzhen the meals were FIREEEEEEE 
7- no lash days because it melts off my face 
8-flew back to hongkong for a night and stayed at @hyattcentrichongkong !! They made me a little poster and brought champagne up to my room😭🤍 the meal from @cruisehk was so good, I usually don’t like tuna but I ate the whole thing :0 
9- they gave me a twin room and I kept jumping between the beds 🧍🏻‍♀️ 
10- finally visited the GIGANTIC fabric market in Guangzhou for @teddyiscalling 🎀 I wanna go back next year with an empty suit case to shop",https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/461851305_505161575738603_4096714006619094477_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHtgLLIeaV4TtCND5ZA0BG_Ef3dgOm9yewROWdwLaFBsc0XA3JVQPpEIsloXBw2Vqk&_nc_ohc=nj5RXj3ecG8Q7kNvwEL6Sub&_nc_gid=niod6NsfztygEtjlChJjZQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQ3MDQyNzM0NTEwNDY5NjIxMA%3D%3D.3-ccb7-5&oh=00_AfHre2Y7Y4KkwxAlpBslQra-5TNadcHJBvdtscC9zFeOyg&oe=680502F9&_nc_sid=fc8dfb,,,
3467585134407439128_2204228646,DAfVk7Ex9MY,once upon a dream,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/461547613_533035042575724_6684126733623310440_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGEQctRtfoanO6V7jhduBoRhBET6sR6PRmmbEAnpIaXhMZ62Bvh6uUoEiw3g0nRN8s&_nc_ohc=I4oUBX8AlOYQ7kNvwHi5S2M&_nc_gid=UrzPO6AIPrpT1qiui3uLbw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQ2NzU4NTEyNjUxMzY4MjYwMQ%3D%3D.3-ccb7-5&oh=00_AfGiUkv4fEsT_XmD1Td3u08ywWxBeJoZuObTy_dXT0FN8g&oe=68050914&_nc_sid=fc8dfb,licensed_music,Once Upon a Dream,Invadable Harmony
3459609029067120898_2204228646,DADABUHR6EC,good moments from Shanghai <3,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/459819088_1488448012027780_648709472479538950_n.jpg?se=-1&stp=dst-jpegr_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5oZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGhFbkYLVJa0uQOJKU2DMhYOLKutJ67b9O44F5TdhKSw-JpNfyi5v-vnt1Qr8wVeE4&_nc_ohc=cnypGJpx4xUQ7kNvwH3te7z&_nc_gid=-OR0VuxkIp-a6wsOaYyMxg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQ1OTYwOTAxNTI0MjY5NDYyOQ%3D%3D.3-ccb7-5&oh=00_AfGtbfQ8fZG_6VJoZWZUFB7Kgr8ljbvZisSDsEItM1_U5A&oe=6804FACB&_nc_sid=fc8dfb,,,
3422688885950885922_2204228646,C9_1WhXx7Ai,Bali vlog is finally out ♡ link in bio,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/452360188_424412393821849_8559756805359403389_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTA3OS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEHLLLix6ZP0F07htgYgp6W8QYNTNxRe2cIOLoigZeoO-vCgo0IG1aX9RqPk3jzn1k&_nc_ohc=tl-OKdlCvksQ7kNvwE6tZK8&_nc_gid=KUI9Dw3eHw1M4clb9fkqRQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQyMjY4ODg4NTk1MDg4NTkyMg%3D%3D.3-ccb7-5&oh=00_AfE_vnrrXdgMBegE1ZRZJPr3ZNQYBZlMaprZ6-ZwwdcarA&oe=68050214&_nc_sid=fc8dfb,licensed_music,No Surprises,Radiohead
3418980747267312513_2204228646,C9yqOAGxIuB,"Hope to see you at KCON!!

KCON LA 2024 K-COLLECTION booth offers various excellent Korean SMEs products. 
You can check out and purchase various functional products such as K-BEAUTY, K-FOOD, K-LIFESTYLE, and K-FASHION at once, and get various prizes by attending Stamp Event at K-Collection booth during KCON LA 2024 on July 26-28, 2024. 

💟 I will hold a livestream at K-Collection and share the great Korean SMEs brands with all of you on my instagram on July 27th at 2pm
Don’t forget to get your limited BOYNEXTDOOR Goods also! 
See you all there at K-Collection! 

- Period : 7/26 ~ 7/28, 10:00 ~ 18:00
- Location : Los Angeles Convention Center
  LA Convention Center: K-Collection section
- Online exhibition : www.kcollectionwithkcon2024.com
  #kcollectionglobal #kconla2024",https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/452327843_1187506252478127_4136331197940488432_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEyODB4MTI4MC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHVIRqTv98iQXRBad5ExB_k9I_iAeTDxfTsRQehF-86opGoYZMV0S5pAbQFzSC40nU&_nc_ohc=clNXvI9BV2cQ7kNvwESx-Ro&_nc_gid=6NcwqpDYGPSeUJeZBQARqg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQxODk4MDc0NzI2NzMxMjUxMw%3D%3D.3-ccb7-5&oh=00_AfESIsspZTg6jvTyJIosxuPbRloEeWShEWssHmBNtooTKA&oe=6804F0AE&_nc_sid=fc8dfb,,,
3416887405796456482_2204228646,C9rOP38APgi,🦙🦙🦙,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/452225184_1239261857079018_2979034011922854910_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5OS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFvW1uEaqFiyTxPLGv1jibLdihE6EHW5QO9flkJEP3webS4Ejy91LVKmzeCRzmiW_I&_nc_ohc=E3gu9ZzqzdUQ7kNvwEHsocp&_nc_gid=b9N9NBGGp_Bm14pvTfSUag&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQxNjg4NzM5ODE2MjgzNjYxMw%3D%3D.3-ccb7-5&oh=00_AfG2NyiNdmfbOAsHFDMi6ZEp_LqccsFr98H_2Ck_w_wOlQ&oe=6804E413&_nc_sid=fc8dfb,licensed_music,Life In Frutiger Aero,Soulitune
3414665267811682062_2204228646,C9jU_gqx4cO,back in my room🧸🍪🧺,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/452010121_2046561565739307_8766853364882292423_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4OTYxLnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QG8ev9uuzN9n7fYHfNF0hY2LhQjQ8QFOJBtQd4KH8Ic6YFM5yVg3CgmQQK71iSCiLk&_nc_ohc=_FlNtETYt1gQ7kNvwG8aukj&_nc_gid=eXjMSxiaHOuU4cEKsBKmYA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQxNDY2NTI1OTg1MDY2ODg5Ng%3D%3D.3-ccb7-5&oh=00_AfEXYez4KOb65y3nSFvqqLsJvMO8cWHK45iKjIvssWgjlg&oe=68050FE9&_nc_sid=fc8dfb,licensed_music,Cookie,NewJeans
3404806807796268320_2204228646,C9ATcCThz0g,happy to be sun burnt :),https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/449177081_3762548707368005_3380290167822229922_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5OS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHyZ_lJfxeL_Z_wQcEKFoOcqRooP3_rQVPES9db-x7mGl4Ay3zn1LIEfOIdwagFics&_nc_ohc=ceSKScBlaf4Q7kNvwECx_nI&_nc_gid=oB8vlH4hWWZE9yT12m2qzg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQwNDgwNjc5NDgwMjI4OTE2NA%3D%3D.3-ccb7-5&oh=00_AfEnkqLOQ0FDw_0tCw0estjEvd9bDzNqMm0ifPftoNdJYA&oe=68050702&_nc_sid=fc8dfb,licensed_music,Tongue Tied,GROUPLOVE
3400372148014389613_2204228646,C8wjHPih5lt,how sweet （╹◡╹）♡,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/449211906_398697469884686_3304596209676120855_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0MTN4MTA1OS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHaS43kiIVHaJiA3jVaN5u3CDbk1Edk1xdXDV3lGeHsxQQrLc43wO0FdT01d0L9rd8&_nc_ohc=69YOAFtKrzAQ7kNvwEtlvUo&_nc_gid=KvsPqQz9XfIPRZwc5B32Ww&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQwMDM3MjEzNzU2MjE1MTUzMQ%3D%3D.3-ccb7-5&oh=00_AfHXr12FKmCQBmRbq8Vt2bvD5IN5n0e6VLdAttX-aaAEtQ&oe=68050BCB&_nc_sid=fc8dfb,licensed_music,Hashirimizu,Yamafutatsu
3392562331275175216_2204228646,C8UzXc6ByUw,Trip was made when I saw naruto making sushi,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/448493365_809996481196735_2458142099580431340_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTE1Mi5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEsCrWK9jvu2ctt-1qDuyhI5x5nlwyudAppVv3RQM5q1snq6QU9Pwl0eBpyWJHww4U&_nc_ohc=de9SpJQDQZgQ7kNvwEkFLc6&_nc_gid=oW8e_gyplL2weeXDbAqF2Q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzM5MjU2MjMxMzEzMDY3MDQ3Ng%3D%3D.3-ccb7-5&oh=00_AfFgoKRItMnUyg3lQo6G1avlHDWIFxn7bVtwrykotr9P1A&oe=6804F736&_nc_sid=fc8dfb,,,
